SEQ,depth,ssp,obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
2,66.97268237,1498.59669,"('0',)",3692375686,4,3.652519941,3716294610,3716294612,3692375686,0,internal_timestamp,67.41000366,1483386886,33.40679932,0,9.963000298,1026.024308,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
3,66.97268237,1498.59669,"('1',)",3692375686,4,3.652519941,3716294610,3716294612,3692375686,0,internal_timestamp,67.41000366,1483386886,33.40679932,0,9.963000298,1026.024308,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
4,66.97070174,1498.596845,"('2',)",3692375686,4,3.652509928,3716294610,3716294612,3692375686,0,internal_timestamp,67.40799713,1483386886,33.40660095,0,9.963199615,1026.02411,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
5,66.97170691,1498.597478,"('3',)",3692375686,4,3.652509928,3716294610,3716294612,3692375686,0,internal_timestamp,67.40899658,1483386886,33.40639877,0,9.963399887,1026.023923,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
6,66.97172536,1498.598195,"('4',)",3692375686,4,3.652509928,3716294610,3716294612,3692375686,0,internal_timestamp,67.40899658,1483386886,33.40610123,0,9.963700294,1026.023641,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
7,66.97074628,1498.598867,"('5',)",3692375686,4,3.652519941,3716294610,3716294612,3692375686,0,internal_timestamp,67.40799713,1483386886,33.40589905,0,9.963999748,1026.023428,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
8,66.96779306,1498.599343,"('6',)",3692375686,4,3.652519941,3716294610,3716294612,3692375686,0,internal_timestamp,67.40499878,1483386886,33.4054985,0,9.964400291,1026.023034,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
9,66.96780645,1498.600179,"('7',)",3692375686,4,3.652529955,3716294610,3716294612,3692375686,0,internal_timestamp,67.40499878,1483386886,33.40530014,0,9.964699745,1026.022829,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
10,66.9678148,1498.60114,"('8',)",3692375686,4,3.652549982,3716294610,3716294612,3692375686,0,internal_timestamp,67.40499878,1483386886,33.40520096,0,9.965000153,1026.022701,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
11,66.9698074,1498.602058,"('9',)",3692375687,4,3.652549982,3716294610,3716294612,3692375687,0,internal_timestamp,67.40699768,1483386887,33.40510178,0,9.965200424,1026.022599,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
12,66.9698074,1498.602058,"('10',)",3692375687,4,3.652549982,3716294610,3716294612,3692375687,0,internal_timestamp,67.40699768,1483386887,33.40510178,0,9.965200424,1026.022599,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
13,66.96682938,1498.601582,"('11',)",3692375687,4,3.652549982,3716294610,3716294612,3692375687,0,internal_timestamp,67.40399933,1483386887,33.40510178,0,9.965200424,1026.022586,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
14,66.96980015,1498.601458,"('12',)",3692375687,4,3.652539968,3716294610,3716294612,3692375687,0,internal_timestamp,67.40699768,1483386887,33.40520096,0,9.965000153,1026.02271,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
15,66.9678126,1498.600418,"('13',)",3692375687,4,3.652529955,3716294610,3716294612,3692375687,0,internal_timestamp,67.40499878,1483386887,33.40520096,0,9.964799881,1026.022735,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
16,66.96582111,1498.599861,"('14',)",3692375687,4,3.652519941,3716294610,3716294612,3692375687,0,internal_timestamp,67.40299988,1483386887,33.40530014,0,9.964699745,1026.02282,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
17,66.96681883,1498.599898,"('15',)",3692375687,4,3.652509928,3716294610,3716294612,3692375687,0,internal_timestamp,67.40399933,1483386887,33.40520096,0,9.964699745,1026.022747,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
18,66.96482734,1498.599341,"('16',)",3692375687,4,3.652509928,3716294610,3716294612,3692375687,0,internal_timestamp,67.40200043,1483386887,33.40530014,0,9.964599609,1026.022833,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
