obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('0',)",3.822649956,29,13,1024.481053,29,29,14,3779218472,3779218544,3773073286,44.63218,-124.30797,0,internal_timestamp,3.470999956,29,29,1564084486,32.4803009,29,29,0,12.90569973,29,29,3773073286
"('1',)",3.822849989,29,13,1024.481646,29,29,14,3779218472,3779218544,3773073286,44.63218,-124.30797,0,internal_timestamp,3.457000017,29,29,1564084486,32.48139954,29,29,0,12.90670013,29,29,3773073286
"('2',)",3.823070049,29,13,1024.481829,29,29,14,3779218472,3779218544,3773073286,44.63218,-124.30797,0,internal_timestamp,3.441999912,29,29,1564084486,32.48210144,29,29,0,12.90820026,29,29,3773073286
"('3',)",3.82336998,29,13,1024.481781,29,29,14,3779218472,3779218544,3773073287,44.63218,-124.30797,0,internal_timestamp,3.427999973,29,29,1564084487,32.48279953,29,29,0,12.91090012,29,29,3773073287
"('4',)",3.823709965,29,13,1024.481624,29,29,14,3779218472,3779218544,3773073287,44.63218,-124.30797,0,internal_timestamp,3.420000076,29,29,1564084487,32.48339844,29,29,0,12.91390038,29,29,3773073287
"('5',)",3.823839903,29,13,1024.481183,29,29,14,3779218472,3779218544,3773073287,44.63218,-124.30797,0,internal_timestamp,3.404000044,29,29,1564084487,32.48329926,29,29,0,12.91539955,29,29,3773073287
"('6',)",3.823570013,29,13,1024.480299,29,29,14,3779218472,3779218544,3773073287,44.63218,-124.30797,0,internal_timestamp,3.39199996,29,29,1564084487,32.48189926,29,29,0,12.91409969,29,29,3773073287
"('7',)",3.822969913,29,13,1024.47942,29,29,14,3779218472,3779218544,3773073287,44.63218,-124.30797,0,internal_timestamp,3.380000114,29,29,1564084487,32.47980118,29,29,0,12.90999985,29,29,3773073287
"('8',)",3.822289944,29,13,1024.478633,29,29,14,3779218472,3779218544,3773073287,44.63218,-124.30797,0,internal_timestamp,3.362999916,29,29,1564084487,32.4776001,29,29,0,12.9048996,29,29,3773073287
"('9',)",3.821939945,29,13,1024.478505,29,29,14,3779218472,3779218544,3773073287,44.63218,-124.30797,0,internal_timestamp,3.351000071,29,29,1564084487,32.47679901,29,29,0,12.90209961,29,29,3773073287
"('10',)",3.82220006,29,13,1024.478486,29,29,14,3779218472,3779218544,3773073287,44.63218,-124.30797,0,internal_timestamp,3.334000111,29,29,1564084487,32.47740173,29,29,0,12.9041996,29,29,3773073287
"('11',)",3.822860003,29,13,1024.478031,29,29,14,3779218472,3779218544,3773073287,44.63218,-124.30797,0,internal_timestamp,3.325000048,29,29,1564084487,32.47840118,29,29,0,12.91030025,29,29,3773073287
"('12',)",3.823519945,29,13,1024.47645,29,29,14,3779218472,3779218544,3773073287,44.63218,-124.30797,0,internal_timestamp,3.312000036,29,29,1564084487,32.47829819,29,29,0,12.91769981,29,29,3773073287
"('13',)",3.823999882,29,13,1024.474717,29,29,14,3779218472,3779218544,3773073287,44.63218,-124.30797,0,internal_timestamp,3.29399991,29,29,1564084487,32.47769928,29,29,0,12.92380047,29,29,3773073287
"('14',)",3.824179888,29,13,1024.47316,29,29,14,3779218472,3779218544,3773073287,44.63218,-124.30797,0,internal_timestamp,3.279999971,29,29,1564084487,32.47660065,29,29,0,12.92710018,29,29,3773073287
