obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3617654687,1,33.09579849,3724598710,3724598710,3617654687,0,internal_timestamp,515.8499756,167795,1408665887,5.208399773,3.309579849,34.10256435,1029.327862,29,29,29,29,1,0,29,29,29,29,29,29,44.36831,-124.95276
"('1',)",3617654697,1,33.09939957,3724598710,3724598710,3617654697,0,internal_timestamp,513.3200073,169240,1408665897,5.215199947,3.309939957,34.10105033,1029.314164,29,29,29,29,1,0,29,29,29,29,29,29,44.36831,-124.95276
"('2',)",3617654706,1,33.11220169,3724598710,3724598710,3617654706,0,internal_timestamp,511.0799866,226697,1408665906,5.232500076,3.311220169,34.09926244,1029.30023,29,29,29,29,1,0,29,29,29,29,29,29,44.36831,-124.95276
"('3',)",3617654717,1,33.14410019,3724598710,3724598710,3617654717,0,internal_timestamp,508.4700012,174685,1408665917,5.269599915,3.314410019,34.09940571,1029.283559,29,29,29,29,1,0,29,29,29,29,29,29,44.36831,-124.95276
"('4',)",3617654727,1,33.14550018,3724598710,3724598710,3617654727,0,internal_timestamp,506.0499878,175550,1408665927,5.271500111,3.314550018,34.10028938,1029.272889,29,29,29,29,1,0,29,29,29,29,29,29,44.36831,-124.95276
"('5',)",3617654737,1,33.14730072,3724598710,3724598710,3617654737,0,internal_timestamp,503.7099915,177532,1408665937,5.274799824,3.314730072,34.1001716,1029.261613,29,29,29,29,1,0,29,29,29,29,29,29,44.36831,-124.95276
"('6',)",3617654747,1,33.14849854,3724598710,3724598710,3617654747,0,internal_timestamp,501.4899902,177297,1408665947,5.277599812,3.314849854,34.0998119,1029.250759,29,29,29,29,1,0,29,29,29,29,29,29,44.36831,-124.95276
"('7',)",3617654757,1,33.16790009,3724598710,3724598710,3617654757,0,internal_timestamp,499.3599854,177086,1408665957,5.300300121,3.316790009,34.10002503,1029.238197,29,29,29,29,1,0,29,29,29,29,29,29,44.36831,-124.95276
"('8',)",3617654766,1,33.18659973,3724598710,3724598710,3617654766,0,internal_timestamp,497.5899963,179693,1408665966,5.320700169,3.318659973,34.10158292,1029.228645,29,29,29,29,1,0,29,29,29,29,29,29,44.36831,-124.95276
"('9',)",3617654777,1,33.2254982,3724598710,3724598710,3617654777,0,internal_timestamp,495.3500061,179409,1408665977,5.366799831,3.32254982,34.100375,1029.21141,29,29,29,29,1,0,29,29,29,29,29,29,44.36831,-124.95276
