obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3692375685.95,4,3.65251994133,3716294610.04,3716294611.79,3692375685.95,0.0,internal_timestamp,67.4100036621,1483386885.95,33.4067993164,0,9.96300029755,1026.02430773,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('1',)",3692375686.01,4,3.65251994133,3716294610.04,3716294611.79,3692375686.01,0.0,internal_timestamp,67.4100036621,1483386886.01,33.4067993164,0,9.96300029755,1026.02430773,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('2',)",3692375686.07,4,3.65250992775,3716294610.04,3716294611.79,3692375686.07,0.0,internal_timestamp,67.4079971313,1483386886.07,33.4066009521,0,9.96319961548,1026.02411029,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('3',)",3692375686.14,4,3.65250992775,3716294610.04,3716294611.79,3692375686.14,0.0,internal_timestamp,67.408996582,1483386886.14,33.4063987732,0,9.96339988708,1026.0239234,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('4',)",3692375686.2,4,3.65250992775,3716294610.04,3716294611.79,3692375686.2,0.0,internal_timestamp,67.408996582,1483386886.2,33.4061012268,0,9.96370029449,1026.02364069,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('5',)",3692375686.26,4,3.65251994133,3716294610.04,3716294611.79,3692375686.26,0.0,internal_timestamp,67.4079971313,1483386886.26,33.4058990479,0,9.96399974823,1026.02342801,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('6',)",3692375686.32,4,3.65251994133,3716294610.04,3716294611.79,3692375686.32,0.0,internal_timestamp,67.4049987793,1483386886.32,33.4054985046,0,9.96440029144,1026.02303446,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('7',)",3692375686.39,4,3.65252995491,3716294610.04,3716294611.79,3692375686.39,0.0,internal_timestamp,67.4049987793,1483386886.39,33.4053001404,0,9.96469974518,1026.02282929,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('8',)",3692375686.45,4,3.65254998207,3716294610.04,3716294611.79,3692375686.45,0.0,internal_timestamp,67.4049987793,1483386886.45,33.4052009583,0,9.96500015259,1026.02270134,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
"('9',)",3692375686.51,4,3.65254998207,3716294610.04,3716294611.8,3692375686.51,0.0,internal_timestamp,67.4069976807,1483386886.51,33.4051017761,0,9.96520042419,1026.02259934,29,13,29,13,29,29,29,13,29,29,44.6389,-124.2990333
