obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3657960058,2,31.47299957,3746541010,3746541010,3657960058,0,internal_timestamp,2929.080078,726615,1448971257,1.717499971,3.147299957,34.64523936,1041.124237,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('1',)",3657960069,2,31.47130013,3746541010,3746541010,3657960069,0,internal_timestamp,2926.620117,734970,1448971268,1.716599941,3.147130013,34.64524312,1041.113475,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('2',)",3657960080,2,31.46999931,3746541010,3746541010,3657960080,0,internal_timestamp,2923.719971,731715,1448971279,1.716400027,3.146999931,34.64519417,1041.100615,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('3',)",3657960091,2,31.46859932,3746541010,3746541010,3657960091,0,internal_timestamp,2920.830078,729218,1448971290,1.715999961,3.146859932,34.64523204,1041.087897,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('4',)",3657960102,2,31.46719933,3746541010,3746541010,3657960102,0,internal_timestamp,2917.919922,735670,1448971301,1.715499997,3.146719933,34.6453859,1041.075195,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('5',)",3657960113,2,31.46619987,3746541010,3746541010,3657960113,0,internal_timestamp,2915.899902,732986,1448971312,1.715499997,3.146619987,34.64508941,1041.06601,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('6',)",3657960124,2,31.46619987,3746541010,3746541010,3657960124,0,internal_timestamp,2915.870117,738722,1448971323,1.715499997,3.146619987,34.64510314,1041.065889,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('7',)",3657960135,2,31.46579933,3746541010,3746541010,3657960135,0,internal_timestamp,2914.610107,734615,1448971334,1.715199947,3.146579933,34.64551149,1041.060668,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('8',)",3657960146,2,31.46459961,3746541010,3746541010,3657960146,0,internal_timestamp,2912.080078,732327,1448971345,1.71510005,3.146459961,34.64531076,1041.049311,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('9',)",3657960157,2,31.46319962,3746541010,3746541010,3657960157,0,internal_timestamp,2909.209961,739001,1448971356,1.7148,3.146319962,34.6452342,1041.036574,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('10',)",3657960168,2,31.46170044,3746541010,3746541010,3657960168,0,internal_timestamp,2906.27002,734539,1448971367,1.714400053,3.146170044,34.64517467,1041.023554,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('11',)",3657960179,2,31.46050072,3746541010,3746541010,3657960179,0,internal_timestamp,2903.389893,738825,1448971378,1.714100003,3.146050072,34.64534934,1041.010967,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('12',)",3657960190,2,31.45910072,3746541010,3746541010,3657960190,0,internal_timestamp,2900.5,744541,1448971389,1.71389997,3.145910072,34.64517628,1040.998049,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('13',)",3657960201,2,31.45770073,3746541010,3746541010,3657960201,0,internal_timestamp,2897.649902,742029,1448971400,1.713400006,3.145770073,34.64530451,1040.985587,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('14',)",3657960212,2,31.4564991,3746541010,3746541010,3657960212,0,internal_timestamp,2894.75,737575,1448971411,1.713400006,3.14564991,34.64516734,1040.972621,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('15',)",3657960223,2,31.4552002,3746541010,3746541010,3657960223,0,internal_timestamp,2891.870117,745950,1448971422,1.71329999,3.14552002,34.64500819,1040.959741,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
"('16',)",3657960234,2,31.45400047,3746541010,3746541010,3657960234,0,internal_timestamp,2888.939941,738763,1448971433,1.713400006,3.145400047,34.6447814,1040.946554,29,29,29,29,1,0,29,13,29,29,29,29,44.52757,-125.38075
