obs,time,deployment,conductivity,driver_timestamp,ext_volt0,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,pressure_temp,temperature,seawater_temperature,seawater_pressure,seawater_conductivity,practical_salinity,corrected_dissolved_oxygen,density,seawater_temperature_qc_executed,seawater_temperature_qc_results,seawater_pressure_qc_executed,seawater_pressure_qc_results,seawater_conductivity_qc_executed,seawater_conductivity_qc_results,corrected_dissolved_oxygen_qc_executed,corrected_dissolved_oxygen_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3786998400,5,1350497,3786998400,24149,3786998403,0,3786998400,port_timestamp,709516,25116,452581,7.268843238,187.9038607,3.452523902,33.80723289,199.9804107,1027.308514,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('1',)",3786998401,5,1350504,3786998401,24148,3786998403,0,3786998401,port_timestamp,709485,25117,452571,7.269445045,187.8706816,3.452570389,33.80716703,199.9654609,1027.308224,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('2',)",3786998402,5,1350506,3786998402,24150,3786998403,0,3786998402,port_timestamp,709464,25117,452561,7.270046864,187.8482202,3.452583662,33.8067346,199.9851095,1027.307695,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('3',)",3786998403,5,1350510,3786998403,24161,3786998408,0,3786998403,port_timestamp,709457,25117,452554,7.270468143,187.840733,3.452610229,33.80661592,200.1069177,1027.307507,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('4',)",3786998404,5,1350510,3786998404,24155,3786998408,0,3786998404,port_timestamp,709468,25117,452552,7.27058851,187.8524985,3.452610232,33.80649276,200.0392431,1027.307447,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('5',)",3786998405,5,1350500,3786998405,24159,3786998408,0,3786998405,port_timestamp,709492,25117,452557,7.270287594,187.8781687,3.452543808,33.80605148,200.0870635,1027.307261,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('6',)",3786998406,5,1350495,3786998406,24155,3786998408,0,3786998406,port_timestamp,709528,25118,452570,7.269505227,187.9166523,3.452510612,33.8064357,200.0462544,1027.307852,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('7',)",3786998407,5,1350500,3786998407,24160,3786998408,0,3786998407,port_timestamp,709574,25118,452578,7.269023779,187.9658535,3.452543851,33.80724385,200.104991,1027.308781,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('8',)",3786998408,5,1350510,3786998408,24152,3786998413,0,3786998408,port_timestamp,709616,25118,452578,7.269023779,188.0107763,3.452610302,33.80794532,200.0150176,1027.309539,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('9',)",3786998409,5,1350509,3786998409,24154,3786998413,0,3786998409,port_timestamp,709650,25121,452580,7.268903418,188.0470772,3.452603671,33.80797325,200.0390199,1027.309745,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('10',)",3786998410,5,1350511,3786998410,24156,3786998413,0,3786998410,port_timestamp,709669,25120,452581,7.268843238,188.0674212,3.452616966,33.8081669,200.0620765,1027.309999,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('11',)",3786998411,5,1350514,3786998411,24158,3786998413,0,3786998411,port_timestamp,709670,25121,452579,7.268963599,188.0684691,3.452636896,33.80826573,200.0838964,1027.310064,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('12',)",3786998412,5,1350513,3786998412,24163,3786998413,0,3786998412,port_timestamp,709654,25121,452582,7.268783058,188.0513556,3.452630248,33.80837793,200.1404846,1027.3101,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('13',)",3786998413,5,1350507,3786998413,24162,3786998418,0,3786998413,port_timestamp,709624,25119,452582,7.268783058,188.0193113,3.452590376,33.80795947,200.1290129,1027.309624,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('14',)",3786998414,5,1350504,3786998414,24163,3786998418,0,3786998414,port_timestamp,709584,25119,452579,7.268963599,187.9765277,3.45257043,33.8075867,200.1388426,1027.309108,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('15',)",3786998415,5,1350511,3786998415,24160,3786998418,0,3786998415,port_timestamp,709540,25118,452564,7.269866317,187.9294874,3.452616909,33.80723358,200.0999638,1027.308486,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('16',)",3786998416,5,1350513,3786998416,24152,3786998418,0,3786998416,port_timestamp,709501,25117,452551,7.270648693,187.887795,3.452630173,33.806634,200.0058635,1027.307711,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('17',)",3786998417,5,1350512,3786998417,24163,3786998418,0,3786998417,port_timestamp,709471,25114,452549,7.27076906,187.8557726,3.452623518,33.80645945,200.1285895,1027.30741,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('18',)",3786998418,5,1350513,3786998418,24159,3786998423,0,3786998418,port_timestamp,709454,25113,452551,7.270648693,187.8376113,3.452630157,33.80665796,200.0833721,1027.307499,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('19',)",3786998419,5,1350514,3786998419,24158,3786998423,0,3786998419,port_timestamp,709453,25115,452546,7.270949612,187.8364982,3.452636797,33.80643691,200.0709389,1027.307278,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('20',)",3786998420,5,1350515,3786998420,24158,3786998423,0,3786998420,port_timestamp,709467,25118,452546,7.270949612,187.8514072,3.452643445,33.80650208,200.0712262,1027.307397,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('21',)",3786998421,5,1350513,3786998421,24153,3786998423,0,3786998421,port_timestamp,709495,25121,452550,7.270708877,187.8812906,3.452630171,33.80657834,200.0167466,1027.307629,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('22',)",3786998422,5,1350508,3786998422,24158,3786998423,0,3786998422,port_timestamp,709532,25122,452561,7.270046864,187.9208437,3.452596973,33.80684452,200.0769082,1027.308114,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('23',)",3786998423,5,1350509,3786998423,24154,3786998428,0,3786998423,port_timestamp,709564,25121,452570,7.269505227,187.9550923,3.452603634,33.80742942,200.0345222,1027.308809,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('24',)",3786998424,5,1350510,3786998424,24163,3786998428,0,3786998424,port_timestamp,709594,25119,452572,7.269384864,187.9872236,3.45261029,33.80760392,200.1370376,1027.309111,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('25',)",3786998425,5,1350513,3786998425,24151,3786998428,0,3786998425,port_timestamp,709614,25118,452574,7.269264502,188.0086372,3.452630229,33.80792812,200.0025524,1027.309481,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('26',)",3786998426,5,1350517,3786998426,24153,3786998428,0,3786998426,port_timestamp,709624,25119,452575,7.269204321,188.0193113,3.452656807,33.80827097,200.0251416,1027.309808,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('27',)",3786998427,5,1350513,3786998427,24157,3786998428,0,3786998427,port_timestamp,709624,25122,452573,7.269324683,188.0192461,3.452630232,33.80786428,200.0701984,1027.309471,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('28',)",3786998428,5,1350519,3786998428,24164,3786998433,0,3786998428,port_timestamp,709612,25122,452564,7.269866317,188.006411,3.452670083,33.80777519,200.1461933,1027.309265,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('29',)",3786998429,5,1350523,3786998429,24158,3786998433,0,3786998429,port_timestamp,709590,25121,452549,7.27076906,187.9829017,3.45269664,33.80719395,200.0744684,1027.308571,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('30',)",3786998430,5,1350524,3786998430,24163,3786998433,0,3786998430,port_timestamp,709564,25122,452543,7.271130165,187.9550706,3.45270327,33.80692688,200.1286935,1027.308181,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('31',)",3786998431,5,1350526,3786998431,24157,3786998433,0,3786998431,port_timestamp,709534,25121,452536,7.271551458,187.9230046,3.452716542,33.80667534,200.058615,1027.307776,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('32',)",3786998432,5,1350524,3786998432,24154,3786998433,0,3786998432,port_timestamp,709506,25123,452533,7.271732014,187.8930126,3.452703243,33.80636876,200.0236298,1027.307371,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('33',)",3786998433,5,1350520,3786998433,24161,3786998438,0,3786998433,port_timestamp,709482,25127,452536,7.271551458,187.8672555,3.452676662,33.80626822,200.1028266,1027.3072,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('34',)",3786998434,5,1350522,3786998434,24161,3786998438,0,3786998434,port_timestamp,709468,25126,452542,7.271190349,187.852303,3.452689948,33.80677258,200.1034636,1027.307579,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('35',)",3786998435,5,1350524,3786998435,24155,3786998438,0,3786998435,port_timestamp,709465,25125,452541,7.271250534,187.8491159,3.452703234,33.8068599,200.0353911,1027.307625,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('36',)",3786998436,5,1350523,3786998436,24151,3786998438,0,3786998436,port_timestamp,709469,25120,452543,7.271130165,187.8535029,3.452696593,33.80690307,199.9909808,1027.307696,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('37',)",3786998437,5,1350521,3786998437,24160,3786998438,0,3786998437,port_timestamp,709484,25117,452545,7.271009796,187.869612,3.452683312,33.80686835,200.0933864,1027.30776,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('38',)",3786998438,5,1350521,3786998438,24162,3786998443,0,3786998438,port_timestamp,709506,25118,452547,7.270889428,187.8931213,3.452683321,33.80697468,200.1169445,1027.307969,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('39',)",3786998439,5,1350525,3786998439,24165,3786998443,0,3786998439,port_timestamp,709533,25120,452544,7.27106998,187.9219567,3.452709903,33.80707375,200.1504444,1027.308153,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('40',)",3786998440,5,1350525,3786998440,24159,3786998443,0,3786998440,port_timestamp,709560,25123,452541,7.271250534,187.9507705,3.452709911,33.80688367,200.0830127,1027.30811,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('41',)",3786998441,5,1350530,3786998441,24166,3786998443,0,3786998441,port_timestamp,709585,25124,452537,7.271491273,187.9774886,3.452743135,33.80699726,200.1611901,1027.308288,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('42',)",3786998442,5,1350536,3786998442,24163,3786998443,0,3786998442,port_timestamp,709603,25122,452532,7.271792199,187.9967847,3.452783,33.8071279,200.1262417,1027.308436,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('43',)",3786998443,5,1350534,3786998443,24171,3786998448,0,3786998443,port_timestamp,709616,25120,452528,7.272032942,188.0107329,3.452769715,33.80674157,200.2160852,1027.308162,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
"('44',)",3786998444,5,1350534,3786998444,24168,3786998448,0,3786998444,port_timestamp,709618,25121,452526,7.272153314,188.0128503,3.452769714,33.80662301,200.1819417,1027.308061,29,29,29,29,29,13,29,29,29,13,29,29,45.83049,-129.75326
